Linux 3.10.0-862.11.6.el7.x86_64 (rhel7-2.example.com) 	2018-09-30 	_x86_64_	(6 CPU)

12:00:01 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
03:10:01 AM       1      0.22      0.00      0.20      0.06      0.00      0.00      0.00      0.00      0.00     99.52
03:10:01 AM       2      0.25      0.00      0.13      0.06      0.00      0.00      0.00      0.00      0.00     99.56
03:10:01 AM       3      0.22      0.00      0.13      0.18      0.00      0.00      0.00      0.00      0.00     99.48
03:10:01 AM       4      0.36      0.00      0.20      0.10      0.00      0.00      0.00      0.00      0.00     99.33
03:10:01 AM       5      0.24      0.00      0.14      0.32      0.00      0.00      0.00      0.00      0.00     99.30
03:20:01 AM     all      0.24      0.00      0.18      0.15      0.00      0.00      0.00      0.00      0.00     99.43
03:20:01 AM       0      0.32      0.00      0.40      0.14      0.00      0.00      0.00      0.00      0.00     99.13
03:20:01 AM       1      0.27      0.00      0.19      0.08      0.00      0.00      0.00      0.00      0.00     99.46
03:20:01 AM       2      0.18      0.00      0.13      0.02      0.00      0.00      0.00      0.00      0.00     99.67
03:20:01 AM       3      0.17      0.00      0.10      0.20      0.00      0.00      0.00      0.00      0.00     99.53
03:20:01 AM       4      0.29      0.00      0.16      0.16      0.00      0.00      0.00      0.00      0.00     99.39
03:20:01 AM       5      0.19      0.00      0.12      0.30      0.00      0.00      0.00      0.00      0.00     99.39
03:30:01 AM     all      0.26      0.04      0.31      0.42      0.00      0.00      0.00      0.00      0.00     98.97
03:30:01 AM       0      0.37      0.01      0.52      0.24      0.00      0.00      0.00      0.00      0.00     98.85
03:30:01 AM       1      0.25      0.01      0.21      0.12      0.00      0.00      0.00      0.00      0.00     99.40
03:30:01 AM       2      0.22      0.02      0.21      0.07      0.00      0.00      0.00      0.00      0.00     99.47
03:30:01 AM       3      0.19      0.01      0.15      0.20      0.00      0.00      0.00      0.00      0.00     99.45
03:30:01 AM       4      0.27      0.01      0.32      0.12      0.00      0.00      0.00      0.00      0.00     99.28
03:30:01 AM       5      0.25      0.20      0.43      1.78      0.00      0.00      0.01      0.00      0.00     97.34
03:40:01 AM     all      0.24      0.00      0.18      0.17      0.00      0.00      0.00      0.00      0.00     99.40
03:40:01 AM       0      0.30      0.00      0.29      0.09      0.00      0.00      0.00      0.00      0.00     99.31
03:40:01 AM       1      0.23      0.00      0.16      0.09      0.00      0.00      0.00      0.00      0.00     99.52
03:40:01 AM       2      0.26      0.00      0.17      0.13      0.00      0.00      0.00      0.00      0.00     99.44
03:40:01 AM       3      0.22      0.00      0.11      0.22      0.00      0.00      0.00      0.00      0.00     99.45
03:40:01 AM       4      0.23      0.00      0.21      0.13      0.00      0.00      0.00      0.00      0.00     99.43
03:40:01 AM       5      0.21      0.00      0.13      0.38      0.00      0.00      0.00      0.00      0.00     99.28

03:40:01 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
03:50:01 AM     all      0.24      0.00      0.18      0.19      0.00      0.00      0.00      0.00      0.00     99.39
03:50:01 AM       0      0.38      0.00      0.38      0.09      0.00      0.00      0.00      0.00      0.00     99.15
03:50:01 AM       1      0.22      0.00      0.14      0.03      0.00      0.00      0.00      0.00      0.00     99.61
03:50:01 AM       2      0.19      0.00      0.16      0.05      0.00      0.00      0.00      0.00      0.00     99.59
03:50:01 AM       3      0.16      0.00      0.11      0.29      0.00      0.00      0.00      0.00      0.00     99.44
03:50:01 AM       4      0.25      0.00      0.18      0.09      0.00      0.00      0.00      0.00      0.00     99.48
03:50:01 AM       5      0.23      0.00      0.11      0.59      0.00      0.00      0.00      0.00      0.00     99.06
04:00:01 AM     all      0.25      0.00      0.20      0.21      0.00      0.00      0.00      0.00      0.00     99.33
04:00:01 AM       0      0.36      0.00      0.35      0.07      0.00      0.00      0.00      0.00      0.00     99.21
04:00:01 AM       1      0.25      0.00      0.15      0.11      0.00      0.00      0.00      0.00      0.00     99.50
04:00:01 AM       2      0.26      0.00      0.18      0.07      0.00      0.00      0.00      0.00      0.00     99.49
04:00:01 AM       3      0.24      0.00      0.20      0.30      0.00      0.00      0.00      0.00      0.00     99.26
04:00:01 AM       4      0.21      0.00      0.17      0.09      0.00      0.00      0.00      0.00      0.00     99.53
04:00:01 AM       5      0.20      0.00      0.19      0.61      0.00      0.00      0.00      0.00      0.00     98.99
04:10:01 AM     all      0.35      0.00      0.22      0.25      0.00      0.00      0.00      0.00      0.00     99.17
04:10:01 AM       0      0.33      0.00      0.33      0.19      0.00      0.00      0.00      0.00      0.00     99.14
04:10:01 AM       1      0.37      0.00      0.18      0.11      0.00      0.00      0.00      0.00      0.00     99.34
04:10:01 AM       2      0.27      0.00      0.17      0.18      0.00      0.00      0.00      0.00      0.00     99.38
04:10:01 AM       3      0.17      0.00      0.17      0.20      0.00      0.00      0.00      0.00      0.00     99.46
04:10:01 AM       4      0.29      0.00      0.24      0.12      0.00      0.00      0.00      0.00      0.00     99.35
04:10:01 AM       5      0.69      0.00      0.22      0.73      0.00      0.00      0.00      0.00      0.00     98.35
04:20:01 AM     all      0.24      0.00      0.18      0.15      0.00      0.00      0.00      0.00      0.00     99.43
04:20:01 AM       0      0.35      0.00      0.32      0.07      0.00      0.00      0.00      0.00      0.00     99.26
04:20:01 AM       1      0.26      0.00      0.15      0.07      0.00      0.00      0.00      0.00      0.00     99.52
04:20:01 AM       2      0.25      0.00      0.14      0.01      0.00      0.00      0.00      0.00      0.00     99.59
04:20:01 AM       3      0.20      0.00      0.15      0.22      0.00      0.00      0.00      0.00      0.00     99.43
04:20:01 AM       4      0.18      0.00      0.16      0.04      0.00      0.00      0.00      0.00      0.00     99.61
04:20:01 AM       5      0.21      0.00      0.16      0.46      0.00      0.00      0.00      0.00      0.00     99.17
04:30:01 AM     all      0.26      0.00      0.24      0.23      0.00      0.00      0.00      0.00      0.00     99.27
04:30:01 AM       0      0.33      0.00      0.37      0.37      0.00      0.00      0.01      0.00      0.00     98.92
04:30:01 AM       1      0.29      0.00      0.23      0.20      0.00      0.00      0.00      0.00      0.00     99.28
04:30:01 AM       2      0.23      0.00      0.16      0.03      0.00      0.00      0.00      0.00      0.00     99.58
04:30:01 AM       3      0.27      0.00      0.18      0.21      0.00      0.00      0.00      0.00      0.00     99.33
04:30:01 AM       4      0.17      0.00      0.31      0.04      0.00      0.00      0.00      0.00      0.00     99.48
04:30:01 AM       5      0.25      0.00      0.17      0.53      0.00      0.00      0.00      0.00      0.00     99.04
04:40:01 AM     all      0.24      0.00      0.18      0.20      0.00      0.00      0.00      0.00      0.00     99.38
04:40:01 AM       0      0.37      0.00      0.36      0.04      0.00      0.00      0.00      0.00      0.00     99.23
04:40:01 AM       1      0.22      0.00      0.13      0.18      0.00      0.00      0.00      0.00      0.00     99.46
04:40:01 AM       2      0.17      0.00      0.12      0.01      0.00      0.00      0.00      0.00      0.00     99.70
04:40:01 AM       3      0.24      0.00      0.16      0.22      0.00      0.00      0.00      0.00      0.00     99.38
04:40:01 AM       4      0.19      0.00      0.14      0.03      0.00      0.00      0.00      0.00      0.00     99.64
04:40:01 AM       5      0.27      0.00      0.18      0.70      0.00      0.00      0.00      0.00      0.00     98.85
04:50:01 AM     all      0.24      0.00      0.18      0.15      0.00      0.00      0.00      0.00      0.00     99.43
04:50:01 AM       0      0.32      0.00      0.36      0.07      0.00      0.00      0.00      0.00      0.00     99.26
04:50:01 AM       1      0.27      0.00      0.15      0.05      0.00      0.00      0.00      0.00      0.00     99.53
04:50:01 AM       2      0.25      0.00      0.14      0.03      0.00      0.00      0.00      0.00      0.00     99.58
04:50:01 AM       3      0.20      0.00      0.12      0.18      0.00      0.00      0.00      0.00      0.00     99.49
04:50:01 AM       4      0.21      0.00      0.17      0.03      0.00      0.00      0.00      0.00      0.00     99.59
04:50:01 AM       5      0.21      0.00      0.13      0.54      0.00      0.00      0.00      0.00      0.00     99.12
05:00:01 AM     all      0.25      0.00      0.20      0.19      0.00      0.00      0.00      0.00      0.00     99.35
05:00:01 AM       0      0.35      0.00      0.35      0.15      0.00      0.00      0.00      0.00      0.00     99.14
05:00:01 AM       1      0.21      0.00      0.20      0.09      0.00      0.00      0.00      0.00      0.00     99.49
05:00:01 AM       2      0.27      0.00      0.14      0.03      0.00      0.00      0.00      0.00      0.00     99.56
05:00:01 AM       3      0.22      0.00      0.13      0.19      0.00      0.00      0.00      0.00      0.00     99.45
05:00:01 AM       4      0.19      0.00      0.18      0.03      0.00      0.00      0.00      0.00      0.00     99.60
05:00:01 AM       5      0.24      0.00      0.21      0.66      0.00      0.00      0.00      0.00      0.00     98.88
05:10:01 AM     all      0.28      0.00      0.21      0.16      0.00      0.00      0.00      0.00      0.00     99.35
05:10:01 AM       0      0.33      0.00      0.34      0.22      0.00      0.00      0.00      0.00      0.00     99.10
05:10:01 AM       1      0.25      0.00      0.23      0.06      0.00      0.00      0.00      0.00      0.00     99.46
05:10:01 AM       2      0.32      0.00      0.15      0.15      0.00      0.00      0.00      0.00      0.00     99.37
05:10:01 AM       3      0.30      0.00      0.15      0.24      0.00      0.00      0.00      0.00      0.00     99.32
05:10:01 AM       4      0.28      0.00      0.17      0.00      0.00      0.00      0.00      0.00      0.00     99.55
05:10:01 AM       5      0.22      0.00      0.21      0.27      0.00      0.00      0.00      0.00      0.00     99.30
05:20:01 AM     all      0.24      0.00      0.18      0.14      0.00      0.00      0.00      0.00      0.00     99.43
05:20:01 AM       0      0.33      0.00      0.36      0.10      0.00      0.00      0.00      0.00      0.00     99.20
